,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
147,Jamestown,8,AU,1521701522,71,-33.21,138.6,78.36,4.5
148,San Carlos de Bariloche,90,AR,1521698400,66,-41.13,-71.31,51.8,17.22
149,Matara,48,PE,1521701791,96,-13.74,-72.9,42.36,1.92
150,Bull Savanna,0,JM,1521701791,90,17.89,-77.59,68.28,2.48
151,Arusha,75,TZ,1521698400,88,-3.37,36.69,73.4,9.17
152,Apastovo,90,RU,1521700200,92,55.2,48.51,23.0,11.18
153,Kuusamo,90,FI,1521699600,92,65.96,29.19,19.4,3.36
154,Nome,1,US,1521700500,87,30.04,-94.42,51.8,3.6
155,Udimskiy,0,RU,1521701793,67,61.14,45.92,-0.93,4.94
156,Maungaturoto,76,NZ,1521701793,99,-36.11,174.36,67.83,14.56
157,Ribeira Grande,92,PT,1521701794,98,38.52,-28.7,62.43,15.23
158,Esperance,20,TT,1521698400,83,10.24,-61.45,77.0,8.52
159,Jalesar,0,IN,1521701794,64,27.47,78.3,81.24,4.5
160,Farmington,1,US,1521697980,55,36.73,-108.21,39.2,8.05
161,Spenge,90,DE,1521699600,86,52.14,8.48,37.4,18.34
162,Saint-Philippe,90,CA,1521699300,68,45.36,-73.48,28.4,13.87
163,Camabatela,80,AO,1521701796,96,-8.19,15.37,65.13,3.15
164,Hualmay,8,PE,1521701555,92,-11.1,-77.61,64.59,2.93
165,Yar-Sale,8,RU,1521701559,80,66.83,70.83,-12.72,4.38
166,Anshun,92,CN,1521701661,55,26.25,105.93,58.56,4.16
167,Changping,0,CN,1521700200,20,40.22,116.23,64.4,11.18
168,Lata,64,IN,1521701797,96,30.78,78.62,49.2,0.92
169,Namibe,36,AO,1521701798,100,-15.19,12.15,77.55,5.17
170,Borovoy,0,RU,1521701798,54,63.23,52.89,-4.89,3.15
171,Bambous Virieux,75,MU,1521698400,70,-20.34,57.76,84.2,9.17
172,Thessalon,40,CA,1521700500,67,46.26,-83.55,19.4,3.36
173,Longyearbyen,75,NO,1521699600,60,78.22,15.63,6.8,10.29
174,Fengzhen,12,CN,1521701666,65,40.43,113.15,49.74,7.74
175,Lancaster,90,US,1521700500,86,40.04,-76.31,33.8,14.99
176,Arkhara,0,RU,1521701800,52,49.42,130.09,47.31,7.4
177,Aswan,0,EG,1521698400,15,24.09,32.9,78.8,8.05
178,Husavik,56,CA,1521701628,66,50.56,-96.99,14.64,3.15
179,Port Alfred,80,ZA,1521701479,87,-33.59,26.89,68.55,3.94
180,Loandjili,40,CG,1521698400,88,-4.77,11.87,77.0,4.7
181,Pevek,76,RU,1521701801,82,69.7,170.27,-2.01,7.96
182,Hami,8,CN,1521701562,51,42.84,93.51,67.56,2.15
183,South Lyon,1,US,1521700560,73,42.45,-83.66,30.2,7.63
184,Qaqortoq,80,GL,1521697800,74,60.72,-46.03,30.2,3.36
185,Batagay-Alyta,76,RU,1521701802,86,67.8,130.41,4.83,4.16
186,Rome,20,IT,1521699600,92,41.89,12.48,44.6,8.05
187,Richards Bay,92,ZA,1521701567,100,-28.77,32.06,68.64,10.76
188,Vardo,90,US,1521700500,69,39.62,-77.74,35.6,4.7
189,Souillac,0,FR,1521700200,80,45.6,-0.6,30.2,2.24
190,Sao Filipe,0,CV,1521701507,97,14.9,-24.5,69.72,17.25
191,Katsuura,75,JP,1521698400,81,33.93,134.5,46.4,11.41
192,Pisco,0,PE,1521698400,77,-13.71,-76.2,68.0,11.41
193,Hella,90,IS,1521700140,100,63.84,-20.4,39.2,20.8
